issue_type,context_keywords,color_requirements,confidence_boost,description,examples
flooding_episode,"flood,water,emergency,disaster,submerged",blue_ratio>0.58,0.35,"EMERGENCY: Roads completely submerged in water","Roads 100% underwater, water everywhere"
severe_flooding,"flood,water,heavy,major",blue_ratio>0.48&blue_ratio<0.58,0.32,"Major flooding - most of road flooded","Streets completely flooded, water blocking all lanes"
monsoon_flooding,"flood,water,monsoon,rain,heavy",blue_ratio>0.40&blue_ratio<0.48,0.29,"Heavy monsoon water flooding roads","Monsoon floods, heavy rains, water damage"
moderate_flooding,"flood,water,some",blue_ratio>0.30&blue_ratio<0.40,0.25,"Moderate flooding - significant water","Water covering portions of road"
flood,"water,pooling,drainage",blue_ratio>0.22&blue_ratio<0.30,0.23,"Water blocking roads - regular flooding","Flooded streets, water pooling"
water_accumulation,"water,puddle,wet",blue_ratio>0.15&blue_ratio<0.22,0.18,"Water pooling in low areas","Puddles, stagnant water, poor drainage"
severe_vegetation,"vegetation,overgrown,blocked",green_ratio>0.58&green_ratio<0.95,0.28,"Severe vegetation overgrowth blocking paths","Trees, dense grass, vegetation blocking roads"
dense_vegetation,"trees,grass,foliage,blocking",green_ratio>0.40&green_ratio<0.58,0.22,"Dense vegetation on or near roads","Overgrown vegetation, trees, grass affecting passage"
critical_pothole,"pothole,hole,large",dark_ratio>0.48&brown_ratio>0.12&brown_ratio<0.26,0.29,"Large deep potholes creating vehicle hazard","Massive holes, deep craters in road"
pothole,"pothole,hole,pit",dark_ratio>0.38&brown_ratio>0.10&brown_ratio<0.24,0.24,"Deep holes in road surface","Road holes, depressions, pits"
severe_road_damage,"crack,severe,damage",dark_ratio>0.35&brown_ratio>0.15&brown_ratio<0.28,0.22,"Severe road damage - chunks missing or large cracks","Missing pavement, large cracks, deteriorated road"
moderate_road_damage,"crack,damage,pavement",dark_ratio>0.28&brown_ratio>0.12&brown_ratio<0.25,0.18,"Moderate cracks and surface damage","Cracks in asphalt, surface degradation"
pothole_cluster,"potholes,multiple,clustered",dark_ratio>0.44&brown_ratio>0.14&brown_ratio<0.26,0.27,"Multiple potholes in one area","Extensively damaged road section"
severe_pothole_cluster,"potholes,critical,extensive",dark_ratio>0.52&brown_ratio>0.16&brown_ratio<0.28,0.30,"CRITICAL: Extensive potholes across large area","Multiple large potholes, extensive network"
electrical_hazard,"electrical,wire,power,exposed",red_ratio>0.36&blue_ratio<0.15&green_ratio<0.15,0.29,"Exposed electrical wires - DANGEROUS","Downed power lines, exposed cables, wires"
trash_pollution,"trash,garbage,waste,pollution",dust_ratio>0.32&dark_ratio>0.15&green_ratio<0.10,0.25,"Significant trash and garbage pollution","Trash piles, garbage, littered areas"
significant_dust,"dust,sand,pollution,haze",dust_ratio>0.42&green_ratio<0.12&blue_ratio<0.08,0.18,"Excessive dust affecting visibility","Dusty roads, sand storms, poor air quality"
dark_unlit_area,"light,dark,night,lighting",dark_ratio>0.50&gray_ratio>0.18&blue_ratio<0.10,0.17,"Dark unlit areas - poor visibility hazard","Broken lights, dark paths, poor lighting"
blocked_drainage,"drainage,clogged,blocked",gray_ratio>0.30&blue_ratio>0.18&dark_ratio>0.16,0.19,"Clogged stormwater drains blocking water flow","Blocked gratings, clogged drains"
water_leak,"water,leak,pipe,supply",blue_ratio>0.28&gray_ratio>0.18&brown_ratio<0.12,0.18,"Water pipeline leakage on roads","Water flowing from pipes, leaking supply"
sewage_issue,"sewage,sewer,dirty,overflow",blue_ratio>0.30&dust_ratio>0.22&dark_ratio>0.20,0.28,"Sewage issue - health hazard","Dirty water, sewage signs, contamination"

